model,stratum,nlpd,crps,energy,variogram,max_crps,sim_cover_80,sim_cover_95,max_cover_80,max_cover_95,n_days
baseline_analog,upper_tail,2.4072539345660684,1.5078869366042749,6.065999917574707,0.12521946201544465,1.7186658908475478,0.7638888888888888,0.8611111111111112,0.7083333333333334,0.8472222222222222,72
baseline_functional,upper_tail,1.8826663411531988,0.9438139158594276,4.000366919905062,0.10938700392187277,0.977265031050589,0.7916666666666666,0.9583333333333334,0.8333333333333334,0.9444444444444444,72
baseline_persistence,upper_tail,2.2825841401177924,1.3334720703061063,5.6376426407837,0.21785761556122793,1.631907853844626,0.6944444444444444,0.875,0.5833333333333334,0.8472222222222222,72
gp_additive,upper_tail,2.991472303016695,1.8496715757342912,7.603223596567976,0.18440127703532022,2.22744814545271,0.375,0.7083333333333334,0.1527777777777778,0.6111111111111112,72
gp_locally_periodic,upper_tail,3.287485943851865,2.360366687503225,9.60921661535243,0.18674487814535146,2.5235453857625405,0.3055555555555556,0.6388888888888888,0.125,0.4722222222222222,72
gp_matern32,upper_tail,3.269780874148441,2.3481267016122045,9.556427930265823,0.18586789688745614,2.522317678710708,0.3055555555555556,0.6527777777777778,0.125,0.4583333333333333,72
gp_matern52,upper_tail,3.6233910049307605,2.7445929980815693,11.250308835542578,0.21006196465721544,2.6697100262612476,0.18055555555555555,0.5694444444444444,0.06944444444444445,0.4305555555555556,72
gp_periodic,upper_tail,3.839123735084648,2.3818332245028095,9.964724882305312,0.2600126639273146,2.59078239121056,0.1388888888888889,0.4444444444444444,0.08333333333333333,0.4722222222222222,72
gp_se,upper_tail,4.44692844009398,3.4401379554770455,14.215382979564623,0.26640748691541166,2.9600478316829446,0.041666666666666664,0.25,0.027777777777777776,0.25,72
baseline_analog,rapid_change,2.9311113304673433,2.1426781759317155,8.617128726594228,0.19791653759511255,2.58277326531552,0.55,0.6,0.45,0.65,20
baseline_functional,rapid_change,2.1530642344313273,1.205898206823097,5.146125616926408,0.1662393848815615,1.3139784643226027,0.7,0.9,0.75,0.85,20
baseline_persistence,rapid_change,2.680552242485261,1.697101896373383,7.182220209826115,0.32209940126749614,2.1468731073220395,0.45,0.75,0.4,0.7,20
gp_additive,rapid_change,3.788070766927053,2.3364657629434924,9.668890954755527,0.25788105574138676,2.8590409488713386,0.2,0.5,0.2,0.4,20
gp_locally_periodic,rapid_change,3.8349877181469565,2.7229901703016863,11.1815406156469,0.25510010865313043,2.9556399837844065,0.25,0.5,0.25,0.35,20
gp_matern32,rapid_change,3.787371145668567,2.699095549291778,11.078517847102766,0.2540021334242454,2.9479923111640365,0.25,0.55,0.25,0.35,20
gp_matern52,rapid_change,4.224045670648957,3.1069974161450573,12.80805858555623,0.2764766703161484,3.067511402367255,0.15,0.4,0.2,0.35,20
gp_periodic,rapid_change,4.982460274034638,2.9577612293942352,12.357432939939313,0.3309555123106772,3.1239544816062557,0.0,0.3,0.2,0.4,20
gp_se,rapid_change,5.22678015500371,3.8113154335130788,15.817164065841837,0.3411183942033234,3.2965418288338952,0.15,0.25,0.2,0.25,20
baseline_analog,unusual_morning,2.4220208992212635,1.5375441208606624,6.200837049637872,0.13468318481654673,1.8870505298287112,0.6666666666666666,0.7666666666666667,0.7333333333333333,0.7333333333333333,30
baseline_functional,unusual_morning,1.9049143616464677,0.9467366179376224,4.001530170486301,0.11678570825250797,1.1500318770964297,0.7333333333333333,0.9666666666666667,0.7333333333333333,0.9,30
baseline_persistence,unusual_morning,2.155782567803721,1.1765225753968853,4.988955134112684,0.20448119905484993,1.4795247250760715,0.7333333333333333,0.9,0.6666666666666666,0.8333333333333334,30
gp_additive,unusual_morning,2.7930778691396556,1.6066976224862521,6.669310247345526,0.16795530588638713,1.9555791460214214,0.6,0.7333333333333333,0.43333333333333335,0.6666666666666666,30
gp_locally_periodic,unusual_morning,2.748602417544355,1.756328940153843,7.236656131480137,0.16580624396169313,1.925621035008708,0.6666666666666666,0.7666666666666667,0.36666666666666664,0.7,30
gp_matern32,unusual_morning,2.727814902701234,1.7434786854340563,7.1826995124156525,0.1649392129069574,1.9241102484593702,0.6666666666666666,0.7666666666666667,0.4,0.7,30
gp_matern52,unusual_morning,3.005256006163661,2.0239223339497148,8.380053126962835,0.18360515280195833,2.002157290626292,0.6,0.7666666666666667,0.36666666666666664,0.7,30
gp_periodic,unusual_morning,3.7764214540604306,2.0653482429791055,8.655903484462453,0.2185383076458776,2.0937437656596374,0.26666666666666666,0.43333333333333335,0.4,0.7,30
gp_se,unusual_morning,3.645562400425262,2.5258592374441426,10.52942467805177,0.2362782875159724,2.15453113321569,0.4,0.6333333333333333,0.3,0.6666666666666666,30
