model,reference,metric,mean_difference,median_difference,ci_lower,ci_upper,fraction_years_favoring,test_years
baseline_analog,gp_matern32,nlpd,-0.15289521067910886,-0.09259769218047897,-0.20317627292644444,-0.10650398267515536,0.96,25
baseline_analog,gp_matern32,crps,-0.18733957829322465,-0.11522013670083586,-0.2398663365478373,-0.13712557046909848,0.92,25
baseline_analog,gp_matern32,energy,-0.7933864443925899,-0.5076978346769732,-1.0013406111754668,-0.5953266047817322,0.96,25
baseline_analog,gp_matern32,variogram,-0.013269648469507275,-0.01121717131405224,-0.016232857595011575,-0.010398879003500162,1.0,25
baseline_analog,gp_matern32,max_crps,-0.22715578390035404,-0.13273814354404523,-0.291036883796008,-0.16360770435437583,0.88,25
baseline_functional,gp_matern32,nlpd,-0.2783381039505019,-0.16423667783217666,-0.34307976510263505,-0.22070596339329313,1.0,25
baseline_functional,gp_matern32,crps,-0.29395073567040203,-0.17481446828311925,-0.35864062631424065,-0.23446488409871974,1.0,25
baseline_functional,gp_matern32,energy,-1.183508101342869,-0.6960299262760077,-1.4340512741116584,-0.9490490792876743,1.0,25
baseline_functional,gp_matern32,variogram,-0.01930270106892261,-0.016014784917708122,-0.022469491613882314,-0.01613702515808825,1.0,25
baseline_functional,gp_matern32,max_crps,-0.33788202550713453,-0.2211838626637408,-0.4128169007113214,-0.26298747117014615,0.96,25
baseline_persistence,gp_matern32,nlpd,-0.17711201273434038,-0.059677568566043115,-0.22910524767647183,-0.1336895624472199,1.0,25
baseline_persistence,gp_matern32,crps,-0.20747392931719139,-0.09215081759140953,-0.2591676768884622,-0.16137020359448212,1.0,25
baseline_persistence,gp_matern32,energy,-0.8102553062022523,-0.3690595233833003,-1.0129514076217372,-0.6272591839515387,1.0,25
baseline_persistence,gp_matern32,variogram,0.006873473278663938,-0.0005416806136774865,0.002802475922134174,0.010601294983819985,0.16,25
baseline_persistence,gp_matern32,max_crps,-0.24359143827494123,-0.12545611063738393,-0.29511215439652255,-0.1924255973662279,1.0,25
gp_additive,gp_matern32,nlpd,-0.1225288934428393,-0.1263336955543286,-0.15699737078147297,-0.08837083741500842,0.92,25
gp_additive,gp_matern32,crps,-0.15585486673626409,-0.10071885888437204,-0.1961357786165434,-0.11917784290337013,1.0,25
gp_additive,gp_matern32,energy,-0.6265201835839461,-0.40948495347361913,-0.7896414057920593,-0.4787257865656131,1.0,25
gp_additive,gp_matern32,variogram,-0.004684290347843073,-0.0045975493874899215,-0.0069865922797040635,-0.0025435891109688714,0.84,25
gp_additive,gp_matern32,max_crps,-0.14323735892306283,-0.09721785970322094,-0.18098888201306504,-0.10681014632333195,0.92,25
gp_locally_periodic,gp_matern32,nlpd,0.0020095927365491747,0.0006977165799340046,0.00044242304722056573,0.003600116414251286,0.28,25
gp_locally_periodic,gp_matern32,crps,0.0017163984338285912,0.0008743764727785486,0.0003979663225778794,0.003097945871507218,0.36,25
gp_locally_periodic,gp_matern32,energy,0.008184170400975492,0.005754366704787017,0.003006019415445424,0.013485778408173096,0.28,25
gp_locally_periodic,gp_matern32,variogram,0.00014660341411343992,7.694706637952076e-05,1.4672280376976566e-06,0.00029744385674857805,0.44,25
gp_locally_periodic,gp_matern32,max_crps,0.0010416902666720753,-8.252921803775237e-05,-0.0008712313237599079,0.0029585957267870932,0.48,25
gp_matern52,gp_matern32,nlpd,0.08336228287780759,0.05008620910960904,0.06975594712875992,0.09885503336448062,0.0,25
gp_matern52,gp_matern32,crps,0.1008552442429908,0.0608583472696434,0.0860758224730436,0.11754241712376068,0.0,25
gp_matern52,gp_matern32,energy,0.4252774571802025,0.25400544198496267,0.3651591956462741,0.49734034268362337,0.0,25
gp_matern52,gp_matern32,variogram,0.0059660565565641255,0.004314274972990639,0.004870939145832872,0.007131381184450442,0.0,25
gp_matern52,gp_matern32,max_crps,0.09678841400397302,0.06835591808555885,0.07788339593281336,0.11689869906069197,0.0,25
gp_periodic,gp_matern32,nlpd,0.17576532768987269,-0.04114496296546499,0.11412820853173676,0.24417145259596762,0.08,25
gp_periodic,gp_matern32,crps,0.009681639983379025,-0.028860816361393815,-0.027221152535888794,0.04491005092989958,0.44,25
gp_periodic,gp_matern32,energy,0.07733120943407473,-0.08920925815973346,-0.06720177158511874,0.22599424373394839,0.44,25
gp_periodic,gp_matern32,variogram,0.02408079929610618,0.01386103454618004,0.020642064872995115,0.028047764351213273,0.0,25
gp_periodic,gp_matern32,max_crps,0.06334551790408553,0.02315277123328463,0.02934786074832961,0.09620343899832477,0.28,25
gp_se,gp_matern32,nlpd,0.2661258677829108,0.1452223766449401,0.2220815369036766,0.31814180987637103,0.0,25
gp_se,gp_matern32,crps,0.28780511101212347,0.1857960750166392,0.2466090033994671,0.33412473949568294,0.0,25
gp_se,gp_matern32,energy,1.2206968556733415,0.7720464013687449,1.0506523548024322,1.413372440573588,0.0,25
gp_se,gp_matern32,variogram,0.023152045581955508,0.015633561357718595,0.01985708418170738,0.026632022839352457,0.0,25
gp_se,gp_matern32,max_crps,0.3034715725568416,0.24786693835097906,0.24978685068685327,0.3612417765583608,0.0,25
