kernel,start,objective,converged,evaluations,boundary_hit,param_0,param_1,param_2,test_year,best_for_fold,param_3,param_4
se,0,47808.31632815415,True,133,False,1.5887684393754087,1.3903203822322818,-1.9649511673999054,2001,True,,
se,1,47808.073081714174,True,190,False,1.5851461550004105,1.3888259180305988,-1.9649511673999063,2001,True,,
se,2,47808.08112845516,True,115,False,1.5869179468137984,1.3894694699085473,-1.9615596379670648,2001,True,,
se,3,47809.04482678983,True,103,False,1.5885115022263672,1.3908435855895864,-1.9500068197674691,2001,False,,
se,4,47808.317413723336,True,151,False,1.5811169713778646,1.3880734408250177,-1.9693779276916805,2001,True,,
se,5,47808.34010476997,True,133,False,1.5903058827334018,1.390743933150396,-1.9632105746336463,2001,True,,
se,6,47808.647748776704,True,133,False,1.5836954410256883,1.3885250890984042,-1.9522277177440748,2001,False,,
se,7,47808.148593388156,True,127,False,1.5846087362542454,1.3845422222994308,-1.966622254801273,2001,True,,
se,8,47808.89100477885,True,103,False,1.577923576340185,1.383949288737137,-1.9757444620097917,2001,False,,
se,9,47808.152014290215,True,103,False,1.588768439375408,1.3890101882540784,-1.9596181131309034,2001,True,,
se,10,47808.71044777526,True,85,False,1.5781484416379383,1.3856521965425452,-1.953458445206482,2001,False,,
se,11,47860.32770260734,False,240,False,1.5683029956857755,1.3693150790279307,-2.0556302782656877,2001,False,,
se,12,47808.06999147788,True,121,False,1.5797647310907832,1.3868391882079825,-1.958331407704466,2001,True,,
se,13,47905.91553305872,False,240,False,1.5495469059314524,1.3211665640370354,-2.0556302782656877,2001,False,,
se,14,47808.575904724305,True,109,False,1.5862713053326376,1.3894442277486798,-1.9698936540810184,2001,False,,
se,15,47809.28900424279,True,133,False,1.5835083750986398,1.392219848550949,-1.9480815614158846,2001,False,,
se,16,47808.4387880541,True,97,False,1.5774557939552927,1.3850935041208494,-1.9561827146483848,2001,True,,
se,17,47808.71105207983,True,109,False,1.5716111643510349,1.3848498859342964,-1.9549003806703018,2001,False,,
se,18,47808.107112862985,True,121,False,1.571930647805663,1.385591241194562,-1.9638268305593871,2001,True,,
se,19,47808.67080824566,True,144,False,1.5887684393754078,1.3893337517688396,-1.970469028714476,2001,False,,
matern32,0,45014.882524033324,True,127,False,1.7506689537265525,2.080366649810928,-2.327667610863011,2001,False,,
matern32,1,45014.45052541082,True,115,False,1.7439978468742203,2.0819715793433633,-2.309558558823099,2001,True,,
matern32,2,45015.032966285326,True,121,False,1.765442788633523,2.091436036424646,-2.3215504374033085,2001,False,,
matern32,3,45014.79311311786,True,183,False,1.7492202998278765,2.0804980187978757,-2.327667610863012,2001,False,,
matern32,4,45014.53224013593,True,169,False,1.7542833459950682,2.090320499648509,-2.308375344557692,2001,True,,
matern32,5,45014.30725153054,True,139,False,1.7338820805059973,2.080678439654648,-2.3125162512316866,2001,True,,
matern32,6,45014.54309629291,True,127,False,1.7311028478712231,2.077305789469058,-2.323193320709534,2001,True,,
matern32,7,45014.686537768124,True,121,False,1.7395372313656279,2.083618775106859,-2.3251552401548055,2001,False,,
matern32,8,45015.110271411104,True,115,False,1.722449914524644,2.0724332648039967,-2.3129765675722562,2001,False,,
matern32,9,45014.73967498752,True,155,False,1.7381940053008607,2.0816221873137155,-2.3049978331465635,2001,False,,
matern32,10,45015.25085826486,True,132,False,1.7623698022152565,2.0886180453278893,-2.3276676108630094,2001,False,,
matern32,11,45014.779785122635,True,108,False,1.7517516254671512,2.0828661028208066,-2.3276676108630094,2001,False,,
matern32,12,45015.830470260094,True,190,False,1.7178271064715493,2.0678001415747542,-2.327667610863012,2001,False,,
matern32,13,45014.418773134006,True,127,False,1.731237571972009,2.0796127672012776,-2.3119229632409968,2001,True,,
matern32,14,45014.220375781086,True,115,False,1.7470664709225792,2.08283893115302,-2.3151063586465055,2001,True,,
matern32,15,45014.315615122876,True,162,False,1.7506689537265516,2.084227655397705,-2.313853353567928,2001,True,,
matern32,16,45014.93442654503,True,115,False,1.7574194594176962,2.0918743335730055,-2.304348575246389,2001,False,,
matern32,17,45014.37065370562,True,121,False,1.741329925734062,2.0870541860636003,-2.3139303563601774,2001,True,,
matern32,18,45014.82706631761,True,149,False,1.7355544566008974,2.0802440080929148,-2.3276676108630086,2001,False,,
matern32,19,45014.21710743806,True,97,False,1.7355153166269874,2.080978255816914,-2.3165709814723394,2001,True,,
matern52,0,45709.172477297005,True,109,False,1.6787131695704884,1.801062208171952,-2.146309389131458,2001,True,,
matern52,1,45709.121562305445,True,121,False,1.689851103235768,1.801843309648747,-2.154091474374667,2001,True,,
matern52,2,45709.7719982864,True,115,False,1.6807133109245462,1.803573375289869,-2.1413818726235716,2001,False,,
matern52,3,45709.43117604791,True,121,False,1.6640068433439732,1.7911595398466156,-2.147248035524388,2001,False,,
matern52,4,45708.860358923645,True,103,False,1.6874757047025155,1.7987687688669893,-2.1529448318788273,2001,True,,
matern52,5,45708.99776488537,True,127,False,1.6799299463319115,1.8006239996902376,-2.1490847180249766,2001,True,,
matern52,6,45709.84688931861,True,127,False,1.6712499345552783,1.7891087253648772,-2.16860769084735,2001,False,,
