model,stratum,nlpd,crps,energy,variogram,max_crps,sim_cover_80,sim_cover_95,max_cover_80,max_cover_95,n_days
baseline_analog,upper_tail,2.3625143025751782,1.4687863370101875,5.942959573511609,0.12503790104853357,1.6708463348885478,0.7361111111111112,0.8611111111111112,0.7083333333333334,0.8194444444444444,72
baseline_functional,upper_tail,1.8772604218970292,0.9380880222511185,3.978463497105363,0.10888064761776146,0.9703237987702464,0.7916666666666666,0.9444444444444444,0.8333333333333334,0.9444444444444444,72
baseline_persistence,upper_tail,2.2825841401177924,1.3334720703061063,5.6376426407837,0.21785761556122793,1.631907853844626,0.6944444444444444,0.875,0.5833333333333334,0.8472222222222222,72
gp_additive,upper_tail,2.9794037156781736,1.8375617240480517,7.5569351495651995,0.18376174116520982,2.2133381876997493,0.375,0.7083333333333334,0.16666666666666666,0.6111111111111112,72
gp_locally_periodic,upper_tail,3.2701096573686197,2.344612697736506,9.54730513474474,0.18539379076411733,2.5123029020809673,0.2777777777777778,0.6805555555555556,0.125,0.4722222222222222,72
gp_matern32,upper_tail,3.2525544874137564,2.33239296208915,9.494611662829572,0.18449192068594508,2.5109651624193834,0.2916666666666667,0.6666666666666666,0.125,0.5277777777777778,72
gp_matern52,upper_tail,3.6132359002570698,2.7338335265901867,11.207764898018858,0.20892513318148442,2.6614394695523598,0.18055555555555555,0.5833333333333334,0.1111111111111111,0.4166666666666667,72
gp_periodic,upper_tail,3.834405827790518,2.3728705677878716,9.927338756694537,0.25885347439838785,2.5769502613964987,0.16666666666666666,0.4722222222222222,0.09722222222222222,0.5277777777777778,72
gp_se,upper_tail,4.432749212866086,3.431753422021759,14.184011121586135,0.2655802973706709,2.950541626423836,0.013888888888888888,0.3055555555555556,0.027777777777777776,0.2361111111111111,72
baseline_analog,rapid_change,2.9590110981449618,2.227401882051697,8.925080750758044,0.1999696707291829,2.6636775966633364,0.5,0.65,0.5,0.55,20
baseline_functional,rapid_change,2.139325980096752,1.1922272744891242,5.090002428287689,0.16375248780873802,1.2900674870998625,0.7,0.9,0.75,0.85,20
baseline_persistence,rapid_change,2.680552242485261,1.697101896373383,7.182220209826115,0.32209940126749614,2.1468731073220395,0.45,0.75,0.4,0.7,20
gp_additive,rapid_change,3.8099202671727044,2.3498061977871494,9.720255952641537,0.25765687470476356,2.8763716039275975,0.15,0.5,0.2,0.4,20
gp_locally_periodic,rapid_change,3.9268319752360115,2.7993261289379676,11.479906524619775,0.2555213842789271,3.012641041897921,0.25,0.55,0.2,0.35,20
gp_matern32,rapid_change,3.882437384251454,2.776794338269787,11.382246910750009,0.2543569202791137,3.008256047412531,0.25,0.5,0.2,0.4,20
gp_matern52,rapid_change,4.368873849088396,3.215954521741063,13.235630131085873,0.2787495677829178,3.13797326924303,0.15,0.45,0.2,0.35,20
gp_periodic,rapid_change,5.061485082014345,3.0047110428943293,12.549239634926735,0.3372747292721623,3.1730862377750175,0.0,0.3,0.2,0.4,20
gp_se,rapid_change,5.434066822338776,3.951681695631553,16.368081397689163,0.34637909500605457,3.368604998260769,0.15,0.2,0.15,0.25,20
baseline_analog,unusual_morning,2.4595608910967215,1.608136320865956,6.443878699598259,0.1343393282213626,1.9897064010737986,0.6785714285714286,0.7857142857142857,0.6785714285714286,0.75,28
baseline_functional,unusual_morning,1.9282086545071164,0.9713087288043508,4.096010955526663,0.11765973667448282,1.1834677691373015,0.7142857142857143,0.9642857142857143,0.7142857142857143,0.8928571428571429,28
baseline_persistence,unusual_morning,2.1773197791108325,1.1974183782678265,5.049183868800513,0.203325500297959,1.5331360243328938,0.75,0.8928571428571429,0.6428571428571429,0.8214285714285714,28
gp_additive,unusual_morning,2.85076988273159,1.6339155350882675,6.772090492683809,0.1697216320114346,1.9801824874977725,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.6785714285714286,28
gp_locally_periodic,unusual_morning,2.7813706201095463,1.7529604773122196,7.206872702996501,0.16430404680500055,1.9401245231789457,0.6785714285714286,0.7857142857142857,0.4642857142857143,0.7142857142857143,28
gp_matern32,unusual_morning,2.7638335316220854,1.7428100420000838,7.163784074475801,0.16367610380079806,1.9407295990987599,0.6785714285714286,0.7857142857142857,0.4642857142857143,0.7142857142857143,28
gp_matern52,unusual_morning,3.03408582646107,2.0078490308186083,8.2903967098175,0.18123459675159753,2.0107416497558046,0.6071428571428571,0.7857142857142857,0.42857142857142855,0.6785714285714286,28
gp_periodic,unusual_morning,3.8908059731587477,2.0849504216028016,8.704560377678368,0.21933659539951877,2.10095237014245,0.32142857142857145,0.42857142857142855,0.42857142857142855,0.7142857142857143,28
gp_se,unusual_morning,3.659386628436479,2.488145088130064,10.3415995940934,0.2313997418819955,2.1622148009485325,0.5,0.75,0.32142857142857145,0.6785714285714286,28
