model,reference,metric,mean_difference,median_difference,ci_lower,ci_upper,fraction_years_favoring,test_years
baseline_analog,gp_matern32,nlpd,-0.14095255432145326,-0.09277593590155098,-0.18224942117338733,-0.10111936256580248,0.96,25
baseline_analog,gp_matern32,crps,-0.16761810731372964,-0.11562976882139325,-0.2139713750461549,-0.12224387258059777,0.88,25
baseline_analog,gp_matern32,energy,-0.7105809841269963,-0.4708204917817813,-0.8988594621332764,-0.5310528608690785,0.92,25
baseline_analog,gp_matern32,variogram,-0.011798379114816179,-0.009760062419687354,-0.014694509807929903,-0.009074833679299324,1.0,25
baseline_analog,gp_matern32,max_crps,-0.20399146905126306,-0.11070071975937101,-0.25998163101751487,-0.14493645349134995,0.88,25
baseline_functional,gp_matern32,nlpd,-0.2538018101881524,-0.15182209116101064,-0.3160150963743347,-0.1974987477393618,1.0,25
baseline_functional,gp_matern32,crps,-0.2645474870173622,-0.144226840345274,-0.32718749461137636,-0.2059056149591946,1.0,25
baseline_functional,gp_matern32,energy,-1.0649209112720819,-0.6279172205374244,-1.3068708970305547,-0.8359633596397635,1.0,25
baseline_functional,gp_matern32,variogram,-0.0181609764459209,-0.015237189907294738,-0.021240577475277425,-0.015110139368349243,1.0,25
baseline_functional,gp_matern32,max_crps,-0.3045853084862705,-0.19227787579532774,-0.37509474509310253,-0.23448334341749263,0.96,25
baseline_persistence,gp_matern32,nlpd,-0.15175591868876034,-0.056657424097585896,-0.19921433562755544,-0.1100774312255914,0.96,25
baseline_persistence,gp_matern32,crps,-0.1770501637180559,-0.08179859463898015,-0.2245928536679694,-0.13223681512415494,1.0,25
baseline_persistence,gp_matern32,energy,-0.686456427738188,-0.30837107825062127,-0.8739583601371913,-0.5136193584043514,1.0,25
baseline_persistence,gp_matern32,variogram,0.008335633780576033,-1.1145272154039487e-05,0.004638584994551329,0.0118735827439826,0.16,25
baseline_persistence,gp_matern32,max_crps,-0.21081445687731817,-0.12327379135759675,-0.2556723821915242,-0.16753650450310323,1.0,25
gp_additive,gp_matern32,nlpd,-0.10367562339117622,-0.12072791076611922,-0.13533748207410903,-0.0722557124851727,0.92,25
gp_additive,gp_matern32,crps,-0.13166975679863066,-0.08874678356302934,-0.1680253789740605,-0.09845701700063039,0.96,25
gp_additive,gp_matern32,energy,-0.5264741631476313,-0.36702512968061596,-0.6715010391200029,-0.38988381740215394,0.96,25
gp_additive,gp_matern32,variogram,-0.0033880186138607383,-0.003890019702772765,-0.0050775949394562805,-0.0017275489395982089,0.88,25
gp_additive,gp_matern32,max_crps,-0.11966524090554401,-0.08728996095541108,-0.15378260212577793,-0.08522732954218344,0.92,25
gp_locally_periodic,gp_matern32,nlpd,0.002058135009077685,0.0003239466035960259,0.0006731013217308589,0.0035759114749886406,0.36,25
gp_locally_periodic,gp_matern32,crps,0.0015084135192564919,0.0010188942564096637,5.3154735130003e-05,0.003121661089397686,0.44,25
gp_locally_periodic,gp_matern32,energy,0.007224990461448491,0.004676812794155438,0.00016263093991391347,0.014439010516005775,0.44,25
gp_locally_periodic,gp_matern32,variogram,0.00010733406490080698,0.00014903080658136558,-4.672546577113438e-05,0.0002658084536435642,0.44,25
gp_locally_periodic,gp_matern32,max_crps,0.0006418721749212343,0.0004790087212680483,-0.0015634438009511477,0.0028431171064938203,0.44,25
gp_matern52,gp_matern32,nlpd,0.07608093372086584,0.04474843899252834,0.062046853840433555,0.09193429680525954,0.0,25
gp_matern52,gp_matern32,crps,0.09182922802424395,0.05388952145868742,0.07729237071742179,0.10893451998617404,0.0,25
gp_matern52,gp_matern32,energy,0.3887657962405372,0.24343036175918353,0.32679439470289356,0.46384981846468,0.0,25
gp_matern52,gp_matern32,variogram,0.005471963025330187,0.004109550724767971,0.0042474632456138825,0.0068490362948867185,0.0,25
gp_matern52,gp_matern32,max_crps,0.08501386311427493,0.0614589166443924,0.07082442612963248,0.09961877654895614,0.0,25
gp_periodic,gp_matern32,nlpd,0.18369929715892985,-0.0375568833091644,0.12516426693952082,0.2496987393402264,0.08,25
gp_periodic,gp_matern32,crps,0.023664030316933423,-0.02405564758577461,-0.009999818467337869,0.05641614297051491,0.36,25
gp_periodic,gp_matern32,energy,0.13479220386274685,-0.07929189621536192,0.0020946656100147656,0.26840025371688425,0.36,25
gp_periodic,gp_matern32,variogram,0.023800084123285135,0.014012814814827433,0.02018730706520697,0.027909396962777677,0.0,25
gp_periodic,gp_matern32,max_crps,0.06612014609570808,0.027309668903944928,0.032552925094487255,0.0983796962128342,0.28,25
gp_se,gp_matern32,nlpd,0.24545073130683093,0.1321306180761379,0.20096699457331527,0.2981326648980082,0.0,25
gp_se,gp_matern32,crps,0.2661562025315663,0.16108383048772068,0.2255030927347781,0.3131670074023365,0.0,25
gp_se,gp_matern32,energy,1.1348761872952022,0.6839186495751202,0.9623812739864787,1.3326424870486389,0.0,25
gp_se,gp_matern32,variogram,0.02199437507514419,0.014662800236331736,0.018446316218602158,0.025886903112941777,0.0,25
gp_se,gp_matern32,max_crps,0.27192684823099167,0.20421693317882872,0.23023591160489734,0.3139338781774997,0.0,25
