model,stratum,nlpd,crps,energy,variogram,max_crps,sim_cover_80,sim_cover_95,max_cover_80,max_cover_95,n_days
baseline_analog,upper_tail,2.232598382803383,1.2929229751186488,5.2720429917551455,0.11601150914833219,1.4413252093106743,0.7083333333333334,0.9305555555555556,0.6944444444444444,0.8611111111111112,72
baseline_functional,upper_tail,1.8364871120214556,0.8876391954031275,3.7570830271639983,0.1027404199295603,0.839111089818704,0.7083333333333334,0.9305555555555556,0.7916666666666666,0.9583333333333334,72
baseline_persistence,upper_tail,2.0955800759733996,1.1081087132193306,4.854845843732132,0.22484097629036048,1.1430724262771856,0.6388888888888888,0.9166666666666666,0.7222222222222222,0.9027777777777778,72
gp_additive,upper_tail,2.6871345301992213,1.610063397497689,6.657153330005434,0.1600224804376162,1.788666211417825,0.4583333333333333,0.7083333333333334,0.2361111111111111,0.6388888888888888,72
gp_locally_periodic,upper_tail,2.9502907055560255,2.0443639521877057,8.33334859830172,0.15779376565377395,1.9362000948641267,0.3888888888888889,0.7361111111111112,0.25,0.6111111111111112,72
gp_matern32,upper_tail,2.928073496743826,2.0278018045927766,8.264898048867796,0.15669823594345234,1.9317472041505017,0.3888888888888889,0.7361111111111112,0.2222222222222222,0.6111111111111112,72
gp_matern52,upper_tail,3.406473452864022,2.532841448362865,10.339919502886794,0.1855828149734114,2.13023238930687,0.2222222222222222,0.6111111111111112,0.1111111111111111,0.5138888888888888,72
gp_periodic,upper_tail,3.7569254621612607,2.3609545840346664,9.84563558525747,0.2377990837020113,2.2065827050617015,0.16666666666666666,0.5138888888888888,0.06944444444444445,0.5,72
gp_se,upper_tail,4.37657343395249,3.348184836569744,13.71481220763219,0.25726034932670916,2.452944700201942,0.041666666666666664,0.3055555555555556,0.027777777777777776,0.2361111111111111,72
baseline_analog,rapid_change,2.7455500932288532,1.852594520365395,7.57687530486093,0.19437429079881924,2.2957075713717803,0.5,0.7,0.4,0.7,20
baseline_functional,rapid_change,2.0069755746559546,1.0315032015533967,4.4710907034684135,0.16060510627498165,0.9998109231404431,0.7,0.9,0.7,0.95,20
baseline_persistence,rapid_change,2.478360683886746,1.4189650795057849,6.275441040256924,0.34213018342771667,1.4487692929473968,0.45,0.75,0.6,0.8,20
gp_additive,rapid_change,3.1736963191995593,1.9315918259461846,8.151882802019642,0.23182570011868706,2.1840532096236855,0.35,0.5,0.25,0.45,20
gp_locally_periodic,rapid_change,3.233161715872518,2.2470839044999686,9.32978731350103,0.22656163343920022,2.1761024044849013,0.3,0.5,0.3,0.55,20
gp_matern32,rapid_change,3.19283653534577,2.2216390024171035,9.222953923156256,0.22532658899495245,2.17119569125522,0.3,0.5,0.3,0.5,20
gp_matern52,rapid_change,3.7626321090185946,2.745548304103473,11.364010442474408,0.25734391916982136,2.3369264699973806,0.2,0.5,0.15,0.5,20
gp_periodic,rapid_change,4.496108816152093,2.779126147281451,11.709869406454715,0.32250749013198216,2.494564215463816,0.1,0.3,0.2,0.4,20
gp_se,rapid_change,4.939181549340907,3.595205229904731,14.899872574988596,0.34833742598087614,2.604648976246362,0.15,0.3,0.15,0.3,20
baseline_analog,unusual_morning,2.30956365514218,1.4042658124893665,5.772006627026265,0.14937984455227324,1.7327554243222887,0.64,0.84,0.72,0.8,25
baseline_functional,unusual_morning,1.7737265223813277,0.8094290571896291,3.47206200157845,0.123193639798628,0.9045562917360097,0.68,0.96,0.76,0.88,25
baseline_persistence,unusual_morning,2.0549277005842495,1.0355693783777726,4.549280997659767,0.23452687577493758,1.0900765455874408,0.52,0.88,0.68,0.88,25
gp_additive,unusual_morning,2.574910161833724,1.4093777741839089,5.885744381201989,0.16357791643496186,1.5824000839202657,0.56,0.64,0.52,0.64,25
gp_locally_periodic,unusual_morning,2.6045739055965726,1.5986025016782357,6.601867910550563,0.16646066708190255,1.5599692157776386,0.56,0.72,0.52,0.68,25
gp_matern32,unusual_morning,2.5849516931464147,1.5840631804111878,6.542608307596174,0.1652222033295551,1.5582906178419322,0.56,0.72,0.52,0.68,25
gp_matern52,unusual_morning,2.9345665504126632,1.929147663287327,7.971430358312988,0.1865483648916394,1.660331605494936,0.48,0.72,0.4,0.64,25
gp_periodic,unusual_morning,3.6354427196079224,2.023311896925474,8.435196018658894,0.21802988499174614,1.7579971342295146,0.32,0.52,0.44,0.64,25
gp_se,unusual_morning,3.6662101146181403,2.5015191245169173,10.384185469039235,0.251501618148483,1.8052903399986695,0.32,0.6,0.28,0.6,25
