model,reference,metric,mean_difference,median_difference,ci_lower,ci_upper,fraction_years_favoring,test_years
baseline_analog,gp_matern32,nlpd,-0.16902235626636522,-0.14229029334761867,-0.21013938832974902,-0.12949599196552813,1.0,25
baseline_analog,gp_matern32,crps,-0.1722573691170903,-0.1104443598546081,-0.2171408909154588,-0.1291801461659411,1.0,25
baseline_analog,gp_matern32,energy,-0.7043567598319709,-0.4472629532928467,-0.8872383091798776,-0.5378449346421155,1.0,25
baseline_analog,gp_matern32,variogram,-0.006760603992689977,-0.007283850874036463,-0.00918284054704475,-0.00448074005298027,0.92,25
baseline_analog,gp_matern32,max_crps,-0.1510290471088665,-0.11477727460573106,-0.20200643237654592,-0.10143784620717206,0.84,25
baseline_functional,gp_matern32,nlpd,-0.2856411270281184,-0.2226055018159605,-0.3312527098382607,-0.2438719639952712,1.0,25
baseline_functional,gp_matern32,crps,-0.2726093509850887,-0.16487438240648833,-0.3236115272412837,-0.2273794867997849,1.0,25
baseline_functional,gp_matern32,energy,-1.081830157010456,-0.705647500584317,-1.278291884738,-0.9016500290984508,1.0,25
baseline_functional,gp_matern32,variogram,-0.012464896224882917,-0.011527546776921013,-0.015299825498199663,-0.00972341680586518,1.0,25
baseline_functional,gp_matern32,max_crps,-0.2687647584797601,-0.19057802677500024,-0.31863023535510254,-0.21839593492204087,1.0,25
baseline_persistence,gp_matern32,nlpd,-0.18205352957186036,-0.12638177123463423,-0.22681331229948218,-0.14368422497875905,1.0,25
baseline_persistence,gp_matern32,crps,-0.19169208279401226,-0.1077255374442706,-0.24225797477976901,-0.1470736001255189,1.0,25
baseline_persistence,gp_matern32,energy,-0.7063412546127913,-0.4157065347052984,-0.9118748120300423,-0.5253246054436429,1.0,25
baseline_persistence,gp_matern32,variogram,0.017871462259641934,0.005337632922279609,0.012953936177689002,0.022627252047535636,0.08,25
baseline_persistence,gp_matern32,max_crps,-0.21720392729110832,-0.14256758188926033,-0.25984673769985916,-0.17595778004925924,1.0,25
gp_additive,gp_matern32,nlpd,-0.12455144438081443,-0.12734723243040058,-0.16047218800246968,-0.08927859444096975,0.88,25
gp_additive,gp_matern32,crps,-0.1446361434871591,-0.09107880709489857,-0.18475949979543999,-0.10720296982992529,0.92,25
gp_additive,gp_matern32,energy,-0.5739642177970802,-0.3671233456265517,-0.7408464146962607,-0.4234829747930276,0.92,25
gp_additive,gp_matern32,variogram,-0.001960454147845857,-0.0029570275721830658,-0.004400472037931942,0.00027245181551786824,0.64,25
gp_additive,gp_matern32,max_crps,-0.10766911287809669,-0.07145818989810104,-0.1433114827341755,-0.07518489458568747,0.92,25
gp_locally_periodic,gp_matern32,nlpd,0.0025650755563306495,0.0010647010675317592,0.0011961487136625184,0.004055016903768165,0.24,25
gp_locally_periodic,gp_matern32,crps,0.002483931531845695,0.0016885197456258383,0.0011563160930825208,0.003957736391610521,0.32,25
gp_locally_periodic,gp_matern32,energy,0.011142799275005725,0.009318175436916931,0.005055917817770318,0.01726773148102312,0.2,25
gp_locally_periodic,gp_matern32,variogram,0.0002045406443234323,0.0001888172423499812,5.058348951472697e-05,0.00036052254746011045,0.32,25
gp_locally_periodic,gp_matern32,max_crps,0.0015679914742471527,0.000652968147357269,-0.0003133712057797696,0.003503256205331988,0.36,25
gp_matern52,gp_matern32,nlpd,0.09416052786447655,0.04880197710712397,0.07581308483213964,0.1153236535414285,0.0,25
gp_matern52,gp_matern32,crps,0.11156938614534521,0.05923665314815074,0.09287454409740892,0.13335728856250662,0.0,25
gp_matern52,gp_matern32,energy,0.4628734929910137,0.2533057847325004,0.3880038010281679,0.5542546731439598,0.0,25
gp_matern52,gp_matern32,variogram,0.006011849497208961,0.0037073390637877637,0.004745997643779724,0.007420307195559538,0.0,25
gp_matern52,gp_matern32,max_crps,0.09030668338338259,0.06849237665001628,0.0754133752344577,0.10609181216173914,0.0,25
gp_periodic,gp_matern32,nlpd,0.17951233767130503,-0.029950725246691068,0.11373114676023943,0.2521357578680233,0.16,25
gp_periodic,gp_matern32,crps,0.04475717679947932,-0.01068139779194166,0.005669598908375304,0.08375944341054897,0.36,25
gp_periodic,gp_matern32,energy,0.22161628913523704,-0.01950023872060358,0.06512597196365033,0.3813859968848749,0.36,25
gp_periodic,gp_matern32,variogram,0.02723335622540728,0.01725084298462881,0.0239337246431284,0.030965003331270422,0.0,25
gp_periodic,gp_matern32,max_crps,0.10056541750401538,0.06391745468287424,0.07475471137283282,0.12720794212135556,0.12,25
gp_se,gp_matern32,nlpd,0.29282916833032924,0.1389770502150829,0.23859933282292567,0.3579756524600348,0.0,25
gp_se,gp_matern32,crps,0.3162258107462597,0.17873933176635148,0.2668578458988667,0.37204149454897956,0.0,25
gp_se,gp_matern32,energy,1.3217645752124096,0.7467879586074648,1.1245983070309706,1.5510488306770314,0.0,25
gp_se,gp_matern32,variogram,0.024261203818831335,0.014271393592443754,0.020421309630329103,0.02850547926008365,0.0,25
gp_se,gp_matern32,max_crps,0.2951435939628212,0.22181098723849413,0.24601931088617715,0.34661156343652455,0.0,25
